Name , OIII/Hb , NII/Ha , SII/Ha , OIII/OII , OIII/NII , OIII/SII , NII/SII , NII/OII , NII/SII;OIII/SII[log q] , NII/SII;OIII/SII[log z] , NII/SII;OIII/Hb[log q] , NII/SII;OIII/Hb[log z] , NII/SII;OIII/OII[log q] , NII/SII;OIII/OII[log z] , NII/OII;OIII/SII[log q] , NII/OII;OIII/SII[log z] , NII/OII;OIII/Hb[log q] , NII/OII;OIII/Hb[log z] , NII/OII;OIII/OII[log q] , NII/OII;OIII/OII[log z] , NII/Ha;OIII/Hb[log q] , NII/Ha;OIII/Hb[log z] , NII/Ha;OIII/OII[log q] , NII/Ha;OIII/OII[log z] , <q> , d[q] , <z> , d[z] , 
ID-24-37 , -0.09369 , -0.31088 , -0.34479 , -0.63217 , 0.32385 , -0.10612 , 0.034 , -0.49205 , 7.22007 , 8.98096 , 7.27408 , 8.96097 , 7.20796 , 8.98717 , 7.20661 , 8.97006 , 7.29036 , 8.97755 , 7.19887 , 8.96887 , nan , nan , nan , nan , 7.23299 , 0.03907 , 8.97426 , 0.00944 , 
ID-24-38 , -0.13612 , -0.25748 , -0.35687 , -0.67085 , 0.24905 , -0.11839 , 0.09949 , -0.45297 , 7.32741 , 9.03467 , 7.39164 , 9.01208 , nan , nan , 7.22788 , 8.9924 , 7.28877 , 8.99438 , 7.17899 , 8.98947 , nan , nan , nan , nan , 7.28294 , 0.08316 , 9.0046 , 0.01899 , 
ID-24-39 , -0.11749 , -0.29206 , -0.44369 , -0.52864 , 0.27268 , -0.04112 , 0.15173 , -0.3358 , 7.46179 , 9.06028 , 7.54967 , 9.03086 , nan , nan , 7.4253 , 9.05673 , nan , nan , 7.41157 , 9.04963 , nan , nan , nan , nan , 7.46208 , 0.06212 , 9.04937 , 0.01311 , 
ID-24-40 , -0.06043 , -0.32116 , -0.54743 , -0.45518 , 0.33752 , 0.09765 , 0.22637 , -0.32645 , 7.69534 , 9.09034 , 7.99534 , 9.02318 , nan , nan , 7.59304 , 9.07144 , nan , nan , 7.50919 , 9.05963 , nan , nan , nan , nan , 7.69823 , 0.2122 , 9.06115 , 0.0283 , 
ID-24-41 , -0.06467 , -0.33116 , -0.54656 , -0.43548 , 0.32422 , 0.07439 , 0.2155 , -0.29436 , 7.65326 , 9.0868 , 7.94551 , 9.03178 , nan , nan , 7.61462 , 9.08606 , nan , nan , 7.59538 , 9.07646 , nan , nan , nan , nan , 7.70219 , 0.16399 , 9.07027 , 0.02609 , 
ID-24-42 , -0.07259 , -0.37747 , -0.56634 , -0.396 , 0.3109 , 0.0363 , 0.18897 , -0.24333 , 7.57406 , 9.07452 , 7.74757 , 9.03092 , nan , nan , 7.64788 , 9.11298 , nan , nan , 7.73598 , 9.10489 , nan , nan , nan , nan , 7.67637 , 0.08145 , 9.08083 , 0.03716 , 
ID-24-43 , -0.07287 , -0.42148 , -0.57407 , -0.34619 , 0.2825 , -0.02495 , 0.15269 , -0.16855 , 7.47068 , 9.05838 , 7.59593 , 9.02239 , nan , nan , 7.68991 , 9.13937 , nan , nan , nan , nan , nan , nan , nan , nan , 7.58551 , 0.10999 , 9.07338 , 0.05992 , 
ID-24-44 , -0.10304 , -0.43308 , -0.56657 , -0.3757 , 0.23576 , -0.09231 , 0.13358 , -0.1498 , 7.40451 , 9.05548 , 7.50347 , 9.0206 , nan , nan , 7.62886 , 9.14136 , nan , nan , nan , nan , nan , nan , nan , nan , 7.51228 , 0.11244 , 9.07248 , 0.06215 , 
ID-24-45 , -0.25754 , -0.35844 , -0.47278 , -0.61295 , 0.05378 , -0.29567 , 0.11444 , -0.20283 , 7.29034 , 9.07613 , 7.36657 , 9.04245 , nan , nan , 7.33222 , 9.10531 , nan , nan , 7.37853 , 9.09967 , nan , nan , nan , nan , 7.34191 , 0.03959 , 9.08089 , 0.02857 , 
ID-24-46 , -0.42637 , -0.31231 , -0.44064 , -0.85123 , -0.12926 , -0.46624 , 0.12843 , -0.25656 , 7.2561 , 9.11678 , 7.32529 , 9.08242 , nan , nan , 7.14808 , 9.07309 , 7.21349 , 9.07296 , 7.08711 , 9.06249 , nan , nan , nan , nan , 7.20601 , 0.09258 , 9.08155 , 0.02092 , 
